ID;Edad;A¤os 2008-2017;Hijas;Nietas;$ Ult. Campa¤a;$ Ult. Ejercicio;CB
1094;44;4;0;0;96516,53;454108,39;IC
1104;59;4;0;0;49999,04;268949,41;CI
1105;50;4;5;1;296025,74;869689,2;ID
1108;43;4;0;0;86720,9;338717,12;IS
1109;54;4;0;0;57341,98;181745,73;SD
1112;57;4;0;0;171340,32;560813,03;ID
1121;42;4;0;0;86025,24;806314,55;IC
1125;37;3;0;0;111166,6;515075,57;ID
1126;47;4;0;0;99565,26;241924,38;IS
1130;44;3;0;0;167099,74;772216,01;IC
1131;32;3;0;0;183594,4;436527,86;DS
1149;55;3;3;0;46661,14;388424;CS
1153;51;3;0;0;93641,34;402065,87;IS
1165;39;3;0;0;99100,54;275041,18;SD
1166;57;3;0;0;96493,86;281506,35;ID
1168;57;3;1;0;86455,96;422858,82;DS
1173;33;3;0;0;47413,07;307361,04;SD
1178;49;3;2;0;144897,12;805677,68;ID
1187;44;3;0;0;121834;526581,16;ID
1192;66;3;0;0;143147,66;262322,64;CD
1197;38;3;0;0;79623,16;477068,97;CI
1211;32;3;1;0;92688,72;451522,6;SD
1218;57;3;1;0;74591,96;367297,34;IC
1224;33;3;0;0;82520,72;252496,53;DC
1234;36;3;0;0;126248,36;439868,34;DS
1236;49;3;0;0;75246,24;446300,15;CI
1251;46;3;0;0;113655,24;296461,38;IS
1253;43;3;1;0;213710,52;732204,67;IC
1259;44;3;0;0;244427,14;242317,65;DS
1261;43;3;0;0;148306,38;348288,63;SD
1277;35;2;1;0;132033,72;419268,57;IS
1287;34;2;0;0;77494,08;295441,46;ID
1303;42;2;0;0;68509,34;249411,58;ID
1304;61;2;1;0;80707,16;308539,64;IC
1310;51;2;0;0;60044,1;188021,67;ID
1318;37;2;0;0;79905,34;230075,13;SI
1320;39;2;0;0;141497,84;204045,2;IC
1328;43;2;0;0;92384,34;161482,99;IC
1333;40;2;0;0;164935,66;228737,77;ID
1345;42;2;0;0;44010,74;74096,24;ID
1348;43;2;0;0;59217,42;13412,47;IS
1350;69;2;0;0;83948,04;46003,49;DC
1353;54;2;0;0;104255,36;58984,02;IC
